TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
tx_email,,E-mailadres,Adresse e-mail,,,,,,tx_email,,,,,
tx_pharmacy_name,,Naam van de apotheek waar u titularis van bent,Nom de la pharmacie dont vous êtes titulaire,,,,,,tx_pharmacy_name,,,,,
tx_apb_number,,APB nummer van de apotheek,Numéro APB de la pharmacie dont vous êtes titulaire,,,,,,tx_apb_number,,,,,
tx_postal_code,,Postcode van de apotheek waar u momenteel werkzaam bent?,Code postal de la pharmacie dont vous êtes titulaire,,,,,,tx_postal_code,,,,,
cd_function,,Uw functie,Votre fonction (au sein de la pharmacie),,1: Apotheker-titularis (zelfstandig)|Titulaire pharmacien (indépendant)  2: Apotheker-titularis (loondienst)|Titulaire pharmacien (salarié)  3: Apotheker-vervanger (zelfstandig)|Remplacement de pharmacien (indépendant)  4: Apotheker-vervanger (loondienst)|Remplacement de pharmacien (salarié),,,,cd_function,,,,,
nr_num_employees_current,,Hoeveel individuen werken in de apotheek waar u momenteel werkzaam bent?,Combien de personnes travaillent dans la pharmacie dont vous êtes titulaire?,,,,,,nr_num_employees_current,,,,,
nr_num_patients_standard,,Hoeveel patiënten bedient de apotheek op een doorsnee dag? (dus niet in corona periode),Combien de patients la pharmacie sert-elle une journée typique? (pas en période corona),,,,,,nr_num_patients_standard,,,,,
nr_num_partients_yesterday,,Hoeveel patiënten werden gisteren in de apotheek bediend?,Combien de patients ont été servis dans la pharmacie hier?,,,,,,nr_num_partients_yesterday,,Put out of prod on 30/03/2020,,,
nr_num_patients_today,,Hoeveel patiënten werden vandaag in de apotheek bediend?,Combien de patients ont été servis dans la pharmacie aujourd'hui?,,,,,,nr_num_patients_today,,,,,
nr_num_partients_phone_standard,,Hoeveel patiënten informeert de apotheek op een doorsnee dag via de telefoon? (dus niet in corona periode) (schatting),Combien de patients la pharmacie informe-t-elle par téléphone une journée typique? (estimation),,,,,,nr_num_partients_phone_standard,,,,,
nr_num_partients_phone_yesterday,,Hoeveel patiënten informeerde de apotheek gisteren via de telefoon? (schatting),Combien de patients la pharmacie a-t-elle informés par téléphone hier? (estimation),,,,,,nr_num_partients_phone_yesterday,,Put out of prod on 30/03/2020,,,
fl_critical_tasks_completed,,Het is duidelijk wat vandaag van mij verwacht werd en mijn kritische taken voor vandaag zijn uitgevoerd.,Ce que l'on attend de moi aujourd'hui est clair et mes tâches essentielles d'aujourd'hui sont exécutées,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_critical_tasks_completed,,,,,
tx_critical_tasks_comments,,Opmerkingen,Remarques,,,,,,tx_critical_tasks_comments,,,,,
fl_quality_standard,,"Het is duidelijk aan welke kwaliteit mijn taken moeten voldoen (richtlijnen, hygiene etc.) en vandaag gebeurde dit volgens de verwachte standaard",Ce que l'on attend de moi aujourd'hui est clair et je peux remplir ces tâches.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_quality_standard,,,,,
