TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
tx_oth_name,,Naam van de organisatie,Nom de l'organisation,,,,,,tx_oth_name,,,,,
tx_email,,E-mailadres,Adresse e-mail,,,,,,tx_email,,,,,
cd_tp_cp,,Type zorgverstrekker,Type fournisseurs de soins,,cp_01:Tandarts / Dentiste  cp_02:Orthodontist / Orthodontiste  cp_03:Parodontoloog / Parontologue  cp_04:Kinesist / Kinésithérapeute  cp_05:Diëtist / Diététicien  cp_06Ergotherapeut / Ergothérapeute  cp_07:Logopedist / Logopède  cp_08:Audiologen en audiciens / Audiologue et Audicien  cp_09:Arts-specialist / Médecins spécialistes,,,,cd_tp_cp,,,,,
tx_postal_code,,Postcode van de gemeente waarin de praktijk zich bevindt,Code postal de l'organisation,,,,,,tx_postal_code,,,,,
nr_num_providers,,Aantal zorgverstrekkers werkzaam in de organisatie,Nombre de fournisseurs de soins dans l'organisation,,,,,,nr_num_providers,,,,,
nr_num_providers_absent,,Aantal zorgverstrekkers die ziek zijn en niet kunnen werken,Nombre de fournisseurs de soins qui sont malades et ne peuvent pas travailler,,,,,,nr_num_providers_absent,,,,,
nr_num_consultations_phone,,Hoeveel telefonische consultaties hebt u vandaag gedaan?,Combien de consultations téléphoniques avez-vous eues aujourd'hui?,,,,,,nr_num_consultations_phone,,,,,
nr_num_consultations_phys,,Hoeveel fysieke consultaties hebt u vandaag gedaan?,Combien de consultations physiques avez-vous eues aujourd'hui?,,,,,,nr_num_consultations_phys,,,,,
nr_num_patients_triage,,Hoeveel patiënten hebt u vandaag doorverwezen naar de covid19 triage post?,Combien de patients avez-vous référés au poste de triage covid19 aujourd'hui?,,,,,,nr_num_patients_triage,,,,,
nr_num_patients_emergency,,Hoeveel potentiële covid19 patiënten hebt u vandaag doorverwezen naar spoed?,Combien de patients potentiels de covid19 avez-vous référés aux urgences aujourd'hui?,,,,,,nr_num_patients_emergency,,,,,
