TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
tx_name,,Naam van de Dienst voor Gezinszorg,Nom du Service d'Aide familiale,,,,,,tx_name,,,,,
tx_email,,E-mailadres contactpersoon,Adresse e-mail de contact,,,,,,tx_email,,,,,
cd_province,,Provincie  (Subscript: “grote diensten dienen de bevraging per provincie in te vullen”),Province,,VAN: Antwerpen|Anvers  BBR: Brussels Hoofdstedelijk Gewest|Région de Bruxelles-Capitale  WHT: Henegouwen|Hainaut  VLI: Limburg|Limbourg  WLG: Luik|Liège  WLX: Luxemburg|Luxembourg  WNA: Namen|Namur  VOV: Oost-Vlaanderen|Flandre orientale  VBR: Vlaams-Brabant|Brabant flamand  WBR: Waals-Brabant|Brabant wallon  VWV: West-Vlaanderen|Flandre occidentale,,,,cd_province,,,,,
nr_num_employees,,Aantal verzorgenden actief aan het werk in de dienst op het moment van de bevraging (in koppen)?,Nombre de collaborateurs d'Aide familiale activement au travail dans le service au moment de l'enquête?,,,,,,nr_num_employees,,,,,
nr_num_employees_sick,,Aantal verzorgenden dat wegens ziekte/ preventieve maatregelen thuis zit op het moment van de bevraging (in koppen)?,Nombre de collaborateurs d'Aide familiale restés à la maison pour maladie/mesures préventives au moment de l'enquête?,,,,,,nr_num_employees_sick,,,,,
nr_num_employees_tz,,Aantal medewerkers poetshulp-karweihulp-professionele oppas... actief aan het werk in de dienst op het moment van de bevraging (in koppen)?,Nombre de collaborateurs d'Aide familiale complémentaires activement au travail dans le service au moment de l'enquête?,,,,,,nr_num_employees_tz,,,,,
nr_num_employees_sick_tz,,Aantal medewerkers poetshulp-karweihulp-professionele oppas... dat wegens ziekte/ preventieve maatregelen thuis zit op het moment van de bevraging (in koppen)?,Nombre de collaborateurs d'Aide familiale complémentaires restés à la maison pour maladie/mesures préventives au moment de l'enquête?,,,,,,nr_num_employees_sick_tz,,,,,
nr_num_employees_covid19_pos,,Aantal zorgmedewerkers dat positief heeft getest op COVOID-19 en thuis is op het moment van de bevraging,Nombre de collaborateurs d'Aide familiale testés positifs au Covid-19 et restés à la maison au moment de l'enquête?,,,,,,nr_num_employees_covid19_pos,,Never was in production,,,
nr_num_patients_covid19_pot,,Hoeveel cliënten zijn vandaag (potentieel) besmet met COVID-19 (cliënten met symptomen)?,Combien de clients sont aujourd'hui (potentiellement) contaminés par le Covid-19 (clients avec symptômes)?,,,,,,nr_num_patients_covid19_pot,,,,,
nr_num_patients_stop,,"Aantal cliënten waarbij de zorg tijdelijk is stopgezet omwille van de huidige crisis (zelf afbellen, prioritering, …).","Nombre de clients pour lesquels les soins ont été temporairement arrêtés en raison de la crise actuelle (annulé eux-mêmes, priorisation, etc.)?",,,,,,nr_num_patients_stop,,,,,
nr_num_patients_cohort,,Hoeveel cliënten hebt u vandaag in cohortzorg?,Combien de clients avez-vous aujourd'hui en soins de cohorte?,,,,,,nr_num_patients_cohort,,,,,
cd_capacity_region,,Zijn er regio’s waar jullie geen prioritaire zorgvragen meer kunnen beantwoorden?,,,VAN_01: Eerstelijnszone N-O-Waasland  VAN_02: Eerstelijnszone Antwerpen Oost  VAN_03: Eerstelijnszone Antwerpen Zuid  VAN_04: Eerstelijnszone Antwerpen-Centrum  VAN_05: Eerstelijnszone Baldemore  VAN_06: Eerstelijnszone Bonstato  VAN_07: Eerstelijnszone Kempenland  VAN_08: Eerstelijnszone Klein-Brabant Vaartland  VAN_09: Eerstelijnszone Mechelen-Katelijne  VAN_10: Eerstelijnszone Middenkempen  VAN_11: Eerstelijnszone Noord Antwerpen  VAN_12: Eerstelijnszone Noorderkempen  VAN_13: Eerstelijnszone Pallieterland  VAN_14: Eerstelijnszone RupeLaar  VAN_15: Eerstelijnszone Voorkempen  VAN_16: Eerstelijnszone ZORA  VAN_17: Eerstelijnszone Zuiderkempen  VAN_18: Samen op één lijn  BBR_01: Eerstelijnszone Bruzel  VLI_01: Eerstelijnszone Haspengouw  VLI_02: Eerstelijnszone Herkenrode  VLI_03: Eerstelijnszone Kemp en Duin  VLI_04: Eerstelijnszone Maasland  VLI_05: Eerstelijnszone MidWestLim  VLI_06: Eerstelijnszone Noord-Limburg  VLI_07: Eerstelijnszone West-Limburg  VLI_08: Eerstelijnszone ZOLim  VOV_01: Eerstelijnszone N-O-Waasland  VOV_02: Eerstelijnszone Dender  VOV_03: Eerstelijnszone Dender Zuid  VOV_04: Eerstelijnszone Gent  VOV_05: Eerstelijnszone Oost-Meetjesland  VOV_06: Eerstelijnszone Panacea  VOV_07: Eerstelijnszone Regio Aalst  VOV_08: Eerstelijnszone Schelde en Leie  VOV_09: Eerstelijnszone Scheldekracht  VOV_10: Eerstelijnszone Vlaamse Ardennen  VOV_11: Eerstelijnszone West-Meetjesland  VOV_12: Eerstelijnszone Z-W-Waasland  VBR_01: Eerstelijnszone Amalo  VBR_02: Eerstelijnszone BraViO  VBR_03: Eerstelijnszone Bruzel  VBR_04: Eerstelijnszone Demerland  VBR_05: Eerstelijnszone Druivenstreek  VBR_06: Eerstelijnszone Leuven  VBR_07: Eerstelijnszone Leuven Noord  VBR_08: Eerstelijnszone Leuven Zuid  VBR_09: Eerstelijnszone Pajottenland  VBR_10: Eerstelijnszone Regio Grimbergen  VBR_11: Eerstelijnszone Zennevallei  VBR_12: Eerstelijnszone Zuidoost Hageland  VWV_01: Eerstelijnszone Brugge  VWV_02: Eerstelijnszone Houtland en Polder  VWV_03: Eerstelijnszone Midden WVL  VWV_04: Eerstelijnszone Oostende-Bredene  VWV_05: Eerstelijnszone Oostkust  VWV_06: Eerstelijnszone Regio Kortrijk  VWV_07: Eerstelijnszone Regio Menen  VWV_08: Eerstelijnszone Regio Waregem  VWV_09: Eerstelijnszone WE40  VWV_10: Eerstelijnszone Westhoek  VWV_11: Eerstelijnszone Westkust&Polder,,,,cd_capacity_region,,,,,
fl_capacity_next_days,,Heb je nog capaciteit (mensen en middelen) om de komende dagen bijkomende cliënten te verzorgen?  Gelieve,Avez-vous toujours la capacité (personnes et ressources) de prendre en charge des patients supplémentaires dans les prochains jours?,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_days,,,,,
tx_capacity_next_days_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_days_comments,,,,,
cd_alc_hand_disinfectant,,Alcoholische handontsmetting,Désinfectant alcoolisé pour les mains,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus  4: Groot overshot|Grand surplus,,,,cd_alc_hand_disinfectant,,,,,
cd_surgical_masks,,Gewone chirurgische maskers,Masques chirurgicaux ordinaires,,1: Groot tekort (max 2 maskers per medewerker)|Grande pénurie (max 2 masques par collaborateur)  2: Klein tekort (3 - 7 maskers per medewerker)|Petite pénurie (3 - 7 masques par collaborateur)  3: Klein overschot (8 - 14 maskers per medewerker)|Petit surplus (8 - 14 masques par collaborateur)  4: Groot overshot (> 14 maskers per medewerker)|Grand surplus (> 14 masques par collaborateur),,,,cd_surgical_masks,,,,,
cd_infection_masks,,Maskers geschikt te gebruiken bij infecties (FFP2 en co),Masques adaptés aux infections (FFP2 et co),,1: Groot tekort (max 2 maskers per medewerker)|Grande pénurie (max 2 masques par collaborateur)  2: Klein tekort (3 - 7 maskers per medewerker)|Petite pénurie (3 - 7 masques par collaborateur)  3: Klein overschot (8 - 14 maskers per medewerker)|Petit surplus (8 - 14 masques par collaborateur)  4: Groot overshot (> 14 maskers per medewerker)|Grand surplus (> 14 masques par collaborateur),,,,cd_infection_masks,,,,,
cd_infection_gloves,,Handschoenen geschikt te gebruiken bij infecties,Gants adaptés aux infections,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_infection_gloves,,,,,
cd_infection_aprons,,Schorten geschikt te gebruiken bij infecties,Tabliers adaptés aux infections,,1: Groot tekort (max 2 schorten per medewerker)|Grande pénurie (max 2 tabliers par collaborateur)  2: Klein tekort (3 - 7 schorten per medewerker)|Petite pénurie (3 - 7 tabliers par collaborateur)  3: Klein overschot (8 - 14 schorten per medewerker)|Petit surplus (8 - 14 tabliers par collaborateur)  4: Groot overshot (> 14 schorten per medewerker)|Grand surplus (> 14 tabliers par collaborateur),,,,cd_infection_aprons,,,,,
