TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
cd_surgical_masks,,Gewone chirurgische maskers,Masques chirurgicaux ordinaires,,1: Groot tekort (max 2 maskers per arts)|Grande pénurie  2: Klein tekort (3-7 maskers per arts)|Petite pénurie  3: Klein overschot  (8-14 maskers per arts)|Petit surplus   4: Groot overshot (>14 maskers per arts)|Grand surplus,,,,cd_surgical_masks,,,,,
cd_infection_masks,,Maskers geschikt te gebruiken bij infecties (FFP2 en co),Masques adaptés aux infections (FFP2 et co),,1: Groot tekort (max 2 maskers per arts)|Grande pénurie  2: Klein tekort (3-7 maskers per arts)|Petite pénurie  3: Klein overschot  (8-14 maskers per arts)|Petit surplus   4: Groot overshot (>14 maskers per arts)|Grand surplus,,,,cd_infection_masks,,,,,
cd_infection_gloves,,Handschoenen geschikt te gebruiken bij infecties,Gants adaptés aux infections,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_infection_gloves,,,,,
cd_infection_aprons,,Schorten geschikt te gebruiken bij infecties,Tabliers adaptés aux infections,,1: Groot tekort (max 2 schorten per arts)|Grande pénurie  2: Klein tekort (3-7 schorten per arts)|Petite pénurie  3: Klein overschot  (8-14 schorten per arts)|Petit surplus   4: Groot overshot (>14 schorten per arts)|Grand surplus,,,,cd_infection_aprons,,,,,
cd_infection_screen,,Bril/scherm geschikt te gebruiken bij infecties,Lunettes / écrans adéquats contre les infections,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_infection_screen,,,,,
nr_num_surgical_masks,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... gewone chirurgische maskers,Indiquez le nombre d'unités nécessaires pour combler les 30 prochains jours:  ..... masques chirurgicaux ordinaires,,,,,,nr_num_surgical_masks,,,,,
nr_num_alc_hand_disinfectant,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... flacon(s) alcoholische handontsmetting (500ml),Indiquez le nombre d'unités nécessaires pour combler les 30 prochains jours:  ..... flacon(s) désinfectant alcoolisé pour les mains (500 ml),,,,,,nr_num_alc_hand_disinfectant,,,,,
nr_num_infection_masks,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... masker(s) geschikt te gebruiken bij infecties (FFP2 en co),Indiquez le nombre d'unités nécessaires pour combler les 30 prochains jours:  ..... masque(s) adapté(s) aux infections (FFP2 et co),,,,,,nr_num_infection_masks,,,,,
nr_num_infection_gloves,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:        ..... verpakking(en) van 100 handschoenen geschikt te gebruiken bij infecties,Indiquez le nombre d'unités nécessaires pour combler les 30 prochains jours:  ..... emballage(s) de 100 gants adaptés aux infections,,,,,,nr_num_infection_gloves,,,,,
nr_num_infection_aprons,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... schort(en) geschikt te gebruiken bij infecties,Indiquez le nombre d'unités nécessaires pour combler les 30 prochains jours:  .....  tablier(s) adaptés aux infections,,,,,,nr_num_infection_aprons,,,,,
