TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
field_name,Column1,label_nl,label_fr,Column2,option values + labels (NL|FR),,,,field_name,,Comments,,,
tx_email,,E-mailadres,Adresse e-mail,,,,,,tx_email,,,,,
tx_practice_name,,Naam praktijk waar u verantwoordelijk voor bent. Indien éénmanspraktijk: typ 'zelfstandig'.,"Nom du cabinet dont vous êtes responsable. Si vous pratiquez seul, tapez «indépendamment».",,,,,,tx_practice_name,,,,,
tx_postal_code,,Postcode waar u gevestigd bent of de praktijk gevestigd is?,Code postal où vous exercez?,,,,,,tx_postal_code,,,,,
cd_num_employees,,Hoeveel individuen werken in de praktijk waar u verantwoordelijk voor bent?,Combien de personnes travaillent dans le cabinet dont vous êtes responsable?,,1: Ik werk zelfstandig| Je travaille comme indépendant  2: 2|2  3: 3|3  4: 4|4  5: 5|5  <other_value>: Andere:|Autre:,,,,cd_num_employees,,,,,
nr_num_clients_standard,,Hoeveel cliënten begeleidt u of de praktijk op een doorsnee dag? (dus niet in corona periode),Combien de clients accompagnez-vous en face-à-face au cours d'une journée type? (pas en période corona),,,,,,nr_num_clients_standard,,,,,
nr_num_clients_phone,,Hoeveel cliënten informeert u of de praktijk op een doorsnee dag telefonisch? (dus niet in corona periode),Combien de clients informez-vous par téléphone au cours d'une journée type? (pas en période corona),,,,,,nr_num_clients_phone,,,,,
nr_num_clients_standard_yesterday,,Hoeveel cliënten begeleidde u of de praktijk gisteren (enkel face-to-face),Combien de clients avez-vous accompagné en face-à-face au cours de la journée d'hier?,,,,,,nr_num_clients_standard_yesterday,,Put out of prod on 30/03/2020,,,
cd_scale_feel_physically,,"Op een schaal van 10, hoe voelt u zich fysiek?","Sur une échelle de 1 à 10, comment vous sentez-vous physiquement?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_physically,,,,,
cd_scale_feel_supported_gov,,"Op een schaal van 10, in welke mate voelt u zich gesteund door de overheid?","Sur une échelle de 1 à10, dans quelle mesure vous sentez-vous soutenu par le gouvernement?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_supported_gov,,,,,
