TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
field_name,Column1,label_nl,label_fr,Column2,option values + labels (NL|FR),,,,field_name,,Comments,,,
tx_name,,Naam van de Dienst voor Thuisverpleging,Nom du service de soins infirmiers à domicile,,,,,,tx_name,,,,,
cd_hn,,Code van de Naam van de Dienst voor Thuisverpleging,Code du nom du service de soins infirmiers à domicile,,See Excel file,,,,cd_hn,,,,,
tx_email,,E-mailadres contactpersoon,Adresse e-mail de contact,,,,,,tx_email,,,,,
cd_province,,Provincie,Province,,VAN: Antwerpen|Anvers  BBR: Brussels Hoofdstedelijk Gewest|Région de Bruxelles-Capitale  WHT: Henegouwen|Hainaut  VLI: Limburg|Limbourg  WLG: Luik|Liège  WLX: Luxemburg|Luxembourg  WNA: Namen|Namur  VOV: Oost-Vlaanderen|Flandre orientale  VBR: Vlaams-Brabant|Brabant flamand  WBR: Waals-Brabant|Brabant wallon  VWV: West-Vlaanderen|Flandre occidentale,,,,cd_province,,,,,
nr_num_employees,,"Aantal zorgmedewerkers, actief aan het werk in de Dienst (incl. zorgkundigen) op het moment van de bevraging",Nombre de professionnels de la santé travaillant activement au service (y compris aides-soignants) au moment de l'enquête,,,,,,nr_num_employees,,,,,
nr_num_employees_sick,,Aantal zorgmedewerkers dat ziek is en niet kan werken (incl. zorgkundigen) op het moment van de bevraging,Nombre de professionnels de la santé qui sont malades et ne peuvent pas travailler (y compris aides-soignants) au moment de l'enquête,,,,,,nr_num_employees_sick,,,,,
nr_num_employees_covid19_pos,,Aantal zorgmedewerkers (incl. zorgkundigen) dat positief heeft getest op COVID-19 en thuis is op het moment van de bevraging,Nombre de professionnels de la santé (y compris. aides-soignants) testés positifs pour COVID-19 et à la maison au moment de l'enquête,,,,,,nr_num_employees_covid19_pos,,,,,
nr_num_cp_cohort_inside,,Hoeveel zorgmedewerkers zijn er ingeschakeld in cohortzorg binnen de organisatie?,Combien de professionnels de la santé participent aux soins de cohorte au sein de l'organisation?,,,,,,nr_num_cp_cohort_inside,,,,,
nr_num_cp_cohort_outside,,Hoeveel zorgmedewerkers zijn er ingeschakeld in cohortzorg buiten de organisatie?,Combien de professionnels de la santé participent aux soins de cohorte en dehors de l'organisation?,,,,,,nr_num_cp_cohort_outside,,,,,
nr_num_patients,,Hoeveel patiënten heeft u vandaag in zorg?,De combien de patients vous occupez-vous aujourd'hui?,,,,,,nr_num_patients,,,,,
nr_num_patients_covid19_pos,,Hoeveel patiënten zijn er vandaag in zorg die positief hebben getest op COVID-19?,Combien de patients qui ont été testés positifs pour Covid-19 sont pris en charge aujourd'hui?,,,,,,nr_num_patients_covid19_pos,,,,,
nr_num_patients_covid19_pot,,Hoeveel patiënten zijn vandaag potentieel besmet met COVID-19 (patiënten met symptomen)?,Combien de patients sont potentiellement infectés par COVID-19 (patients présentant des symptômes) aujourd'hui?,,,,,,nr_num_patients_covid19_pot,,,,,
nr_num_patients_cohort,,Hoeveel patiënten hebt u vandaag in cohortzorg binnen de organisatie?,Combien de patients avez-vous en soins de cohorte aujourd'hui?,,,,,,nr_num_patients_cohort,,,,,
fl_capacity_next_days,,Heb je nog capaciteit (mensen en middelen) om de komende dagen bijkomende patiënten te verzorgen?,Avez-vous toujours la capacité (personnes et ressources) de prendre en charge des patients supplémentaires dans les prochains jours?,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_days,,,,,
tx_capacity_next_days_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_days_comments,,,,,
cd_alc_hand_disinfectant,,Alcoholische handontsmetting,Désinfectant alcoolisé pour les mains,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_alc_hand_disinfectant,,,,,
cd_surgical_masks,,Gewone chirurgische maskers,Masques chirurgicaux ordinaires,,1: Groot tekort (max 2 maskers per verpleegster)|Grande pénurie  2: Klein tekort (3-7 maskers per verpleegster)|Petite pénurie  3: Klein overschot  (8-14 maskers per verpleegster)|Petit surplus   4: Groot overshot (>14 maskers per verpleegster)|Grand surplus,,,,cd_surgical_masks,,,,,
cd_infection_masks,,Maskers geschikt te gebruiken bij infecties (FFP2 en co),Masques adaptés aux infections (FFP2 et co),,1: Groot tekort (max 2 maskers per verpleegster)|Grande pénurie  2: Klein tekort (3-7 maskers per verpleegster)|Petite pénurie  3: Klein overschot  (8-14 maskers per verpleegster)|Petit surplus   4: Groot overshot (>14 maskers per verpleegster)|Grand surplus,,,,cd_infection_masks,,,,,
cd_infection_gloves,,Handschoenen geschikt te gebruiken bij infecties,Gants adaptés aux infections,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_infection_gloves,,,,,
