TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
tx_gp_name,,Naam van de praktijk,Nom du cabinet,,,,,,tx_gp_name,,,,,
tx_email,,E-mailadres,Adresse e-mail,,,,,,tx_email,,,,,
tx_gp_postal_code,,Postcode van de gemeente waarin de praktijk zich bevindt,Code postal du cabinet,,,,,,tx_gp_postal_code,,,,,
cd_prof_circle,,Lid van huisartsenkring,Membre du Cercle de Médecins Généralistes,,,,,,cd_prof_circle,,Now contains 'Andere'. The value will be the code (if code was selected) or free text (if 'Andere / Autre' was selected).,,,
tx_prof_circle,,,,,,,,,tx_prof_circle,,"This field is removed from data entry, not from data flow",,,
nr_num_gp_providers,,Aantal huisartsen of HAIO’s werkzaam in de praktijk,Nombre de médecins ou assistants en médecine générale dans le cabinet,,,,,,nr_num_gp_providers,,,,,
nr_num_gp_providers_absent,,Aantal huisartsen of HAIO’s die ziek zijn en niet kunnen werken,Nombre de médecins ou HIO qui sont malades et ne peuvent pas travailler,,,,,,nr_num_gp_providers_absent,,,,,
fl_critical_tasks_completed,,Mijn kritische taken voor de dag werden uitgevoerd.,Mes tâches essentielles de la journée sont exécutées.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_critical_tasks_completed,,,,,
tx_critical_tasks_comments,,Opmerkingen,Remarques,,,,,,tx_critical_tasks_comments,,,,,
fl_quality_standard,,Uitvoering gebeurt volgens de verwachte standaard,Je peux exécuter mes taches selon la norme attendue.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_quality_standard,,,,,
tx_quality_comments,,Opmerkingen,Remarques,,,,,,tx_quality_comments,,,,,
fl_help_needed,,Ik heb hulp nodig,J'ai besoin d'aide.,,0: Geen hulp nodig|Aucune aide nécessaire  1: Hulp nodig|Besoin d'aide,,,,fl_help_needed,,,,,
tx_help_needed_comments,,Opmerkingen,Remarques,,,,,,tx_help_needed_comments,,,,,
fl_capacity_next_day,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van morgen uit te voeren.,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail de demain.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_day,,,,,
tx_capacity_next_day_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_day_comments,,,,,
fl_capacity_next_week,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van de komende week uit te voeren.,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail de la semaine prochaine,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_week,,,,,
tx_capacity_next_week_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_week_comments,,,,,
nr_num_consultations_phone,,Hoeveel telefonische consultaties hebt u vandaag gedaan?,Combien de consultations téléphoniques avez-vous eues aujourd'hui?,,,,,,nr_num_consultations_phone,,,,,
nr_num_consultations_phys,,Hoeveel fysieke consultaties hebt u vandaag gedaan?,Combien de consultations physiques avez-vous eues aujourd'hui?,,,,,,nr_num_consultations_phys,,,,,
